Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Stan's Cafe,Micro Productions,"£22,370",30-Jun-21,June,Q1,Midlands,Birmingham,Theatre,"Over £15,000"
NCBF,NCBF 2,"£49,951",30-Jun-21,June,Q1,Midlands,Solihull,Music,"Over £15,000"
Spiritato,Inspiring Bach; ventless trumpet R&D,"£14,522",30-Jun-21,June,Q1,London,Waltham Forest,Music,"£15,000 and below"
Backlit,Participatory Arts Programme to engage audiences in issues related to the Environment and Climate Change,"£20,025",30-Jun-21,June,Q1,Midlands,Nottingham,Visual arts,"Over £15,000"
Magna Vitae,Audio Trail,"£35,930",30-Jun-21,June,Q1,Midlands,East Lindsey,Combined arts,"Over £15,000"
Déda,Altered Streets - an urban transformation street art project,"£95,000",30-Jun-21,June,Q1,Midlands,Derby,Combined arts,"Over £15,000"
Ashanti Anderson,S.T.A.R.T. Something different,"£8,550",30-Jun-21,June,Q1,Midlands,Birmingham,Visual arts,"£15,000 and below"
Venture Arts,North West Artist Development Programme,"£42,329",30-Jun-21,June,Q1,North,Manchester,Visual arts,"Over £15,000"
Primary,Primary – New Support Structures for Artists,"£39,000",30-Jun-21,June,Q1,Midlands,Nottingham,Visual arts,"Over £15,000"
Grand Union Arts CIO,The Field Commission,"£80,962",30-Jun-21,June,Q1,Midlands,Birmingham,Visual arts,"Over £15,000"
Equal Vision,Equal Vision: Creating Space for Creative Curiosity,"£48,350",30-Jun-21,June,Q1,Midlands,Malvern Hills,Combined arts,"Over £15,000"
"Culture, Learning and Libraries (Midlands) - Library Service",I am a Reader,"£40,290",30-Jun-21,June,Q1,Midlands,Nottingham,Literature,"Over £15,000"
Jackie Goodman,Hull to Newcastle Dance Path Part 1,"£13,080",30-Jun-21,June,Q1,North,North Lincolnshire,Dance,"£15,000 and below"
Sudbury Hall and the National Trust Museum of Childhood,Children's Country House,"£47,950",30-Jun-21,June,Q1,Midlands,Derbyshire Dales,Visual arts,"Over £15,000"
Metro-Boulot-Dodo Limited,-,"£39,700",30-Jun-21,June,Q1,Midlands,Leicester,Combined arts,"Over £15,000"
Royal Borough of Kingston Upon THames,Asset Based Storytelling in Kingston,"£41,482",30-Jun-21,June,Q1,London,Kingston upon Thames,Libraries,"Over £15,000"
Concrete Youth,ASMR/Jungle R&D Project,"£18,966",30-Jun-21,June,Q1,North,"Kingston upon Hull, City of",Theatre,"Over £15,000"
Festival of Thrift,FOT CIC 2021-2023,"£220,000",30-Jun-21,June,Q1,North,Redcar and Cleveland,Combined arts,"Over £15,000"
Derby Museums,Making a Difference,"£76,941",30-Jun-21,June,Q1,Midlands,Derby,Museums,"Over £15,000"
Matt Johnson,Nuneaton Abbey & The Birth of a Town,"£23,325",30-Jun-21,June,Q1,Midlands,Nuneaton and Bedworth,Museums,"Over £15,000"
The Met,The Met Outdoors,"£74,000",30-Jun-21,June,Q1,North,Bury,Combined arts,"Over £15,000"
UFO Steelband,UFO Reimagined,"£19,750",30-Jun-21,June,Q1,London,Hammersmith and Fulham,Music,"£15,000 and below"
Wakefield Council – Museums,Fire and Water: Knottingley's Industrial Heritage,"£43,550",30-Jun-21,June,Q1,North,Wakefield,Museums,"Over £15,000"
Corby Cube Theatre Trust,CCTT Virtual Reality Community Project - Mar 21,"£41,770",30-Jun-21,June,Q1,Midlands,North Northamptonshire,Theatre,"Over £15,000"
Talking Birds Theatre Company Limited,Art For The People,"£48,499",30-Jun-21,June,Q1,Midlands,Coventry,Theatre,"Over £15,000"
Yorkshire Artspace Society Ltd,Communal Kiln and engagement,"£65,662",30-Jun-21,June,Q1,North,Sheffield,Visual arts,"Over £15,000"
Beavers Arts Ltd.,Family Basket,"£18,700",30-Jun-21,June,Q1,Midlands,Stoke-on-Trent,Combined arts,"Over £15,000"
Randolph Matthews,Folkestone town music residency,"£14,985",30-Jun-21,June,Q1,South East,Folkestone and Hythe,Music,"£15,000 and below"
Ellen Sargen,CoMA Manchester Community Project,"£7,225",30-Jun-21,June,Q1,North,Salford,Music,"£15,000 and below"
Riversideartistsgroup,community-- clay worshops,"£2,000",30-Jun-21,June,Q1,London,Ealing,Visual arts,"£15,000 and below"
Melanie Wilson,Oracle: Animals + Humans + AI,"£14,913",30-Jun-21,June,Q1,North,Manchester,Music,"£15,000 and below"
Annette Gregory,Annette Gregory & Friends - Jazz & Me,"£8,535",30-Jun-21,June,Q1,Midlands,Wyre Forest,Music,"£15,000 and below"
Whippet Up CIC,Phoenix Rising,"£14,980",30-Jun-21,June,Q1,North,Redcar and Cleveland,Music,"£15,000 and below"
Manoranjan CIC,'Gora' R&D,"£14,390",30-Jun-21,June,Q1,North,Tameside,Theatre,"£15,000 and below"
Read Now Write Now,The Write Time,"£12,028",30-Jun-21,June,Q1,North,Wirral,Literature,"£15,000 and below"
We Out Here Ltd,We Out Here audience & artist development programme,"£14,750",30-Jun-21,June,Q1,London,Southwark,Music,"£15,000 and below"
AIR Gallery,Off Trail,"£5,720",30-Jun-21,June,Q1,North,Trafford,Visual arts,"£15,000 and below"
Shutian Zhou,ZAOTANG: Pop-up Gallery on Asian Arts and Feminism,"£14,934",30-Jun-21,June,Q1,London,Islington,Visual arts,"£15,000 and below"
Lisa Lacey,Windrush Day Luton,"£8,564",30-Jun-21,June,Q1,South East,Luton,Literature,"£15,000 and below"
Maelstrom Theatre,Method of you/us,"£15,960",30-Jun-21,June,Q1,North,Chorley,Dance,"£15,000 and below"
Kapow - Dance Circus Theatre CIC,Sector Support Offer - Pilot 'How to Self Produce Course' Development,"£15,000",30-Jun-21,June,Q1,North,Manchester,Dance,"£15,000 and below"
Louder Than Words Ltd,LOUDER Community Takeover,"£14,041",30-Jun-21,June,Q1,South East,Elmbridge,Combined arts,"£15,000 and below"
Nicola Conibere,Caretakers : production,"£15,500",30-Jun-21,June,Q1,London,Sutton,Dance,"£15,000 and below"
Ananda Arts,Ananda Odissi Festival 2021,"£14,995",30-Jun-21,June,Q1,South East,Bedford,Dance,"£15,000 and below"
Chisenhale Art Place,Into the Wild 2021 (version 4),"£15,265",30-Jun-21,June,Q1,London,Tower Hamlets,Visual arts,"£15,000 and below"
Jennifer Arshad-Kay,Nothing Special R&D,"£10,404",30-Jun-21,June,Q1,North,Calderdale,Theatre,"£15,000 and below"
Laurie Ogden,Different Owners at Sunrise,"£17,805",30-Jun-21,June,Q1,London,Lewisham,Theatre,"£15,000 and below"
Claudia Graham,Pauline R&D,"£14,340",30-Jun-21,June,Q1,South East,Buckinghamshire,Theatre,"£15,000 and below"
John Joseph Bibby,Medusa Reclusa 2021,"£16,895",30-Jun-21,June,Q1,North,Wyre,Theatre,"£15,000 and below"
GRACE NDIRITU,The Peace Pagoda,"£12,000",30-Jun-21,June,Q1,Midlands,Birmingham,Visual arts,"£15,000 and below"
Ragged Edge Productions,Audio Adventures R&D v.2,"£9,768",30-Jun-21,June,Q1,North,Allerdale,Theatre,"£15,000 and below"
Sarah Graham,Making with Microbes Workshop Series,"£14,956",30-Jun-21,June,Q1,London,Haringey,Combined arts,"£15,000 and below"
Spiltmilk Dance,Little Wanders,"£14,429",30-Jun-21,June,Q1,Midlands,Warwick,Dance,"£15,000 and below"
EWT Theatre for the Community CIC,Estimated Waiting Time UK Tour,"£14,963",30-Jun-21,June,Q1,London,Camden,Theatre,"£15,000 and below"
Laura Wyatt O'Keeffe,"Vessel, A multi-awarded nominated live & digital tour","£14,711",30-Jun-21,June,Q1,South East,Sevenoaks,Theatre,"£15,000 and below"
Aphra Hodgson,Shemza Digital,"£14,400",30-Jun-21,June,Q1,South East,Thanet,Visual arts,"£15,000 and below"
Darren Johnston,R&D Virtual Stages,"£14,900",30-Jun-21,June,Q1,London,Barnet,Dance,"£15,000 and below"
Full House Theatre,Big Red Bath Tour Autumn 2021,"£14,995",30-Jun-21,June,Q1,South East,Central Bedfordshire,Theatre,"£15,000 and below"
DAVID ADKIN,Transgender People of Colour Take Charge: UK Premiere of Female Korean-American Playwright Young Jean Lee’s STRAIGHT WHITE MEN at Southwark Playhouse Nov-Dec 2021,"£15,000",30-Jun-21,June,Q1,South East,Cherwell,Theatre,"£15,000 and below"
Tamara von Werthern,Fizzy Sherbet,"£15,275",30-Jun-21,June,Q1,London,Hackney,Theatre,"£15,000 and below"
The Spitz,Re-Emerging Artists at Bridgeside Lodge Care Home SUMMER21,"£14,910",30-Jun-21,June,Q1,London,Islington,Music,"£15,000 and below"
Emma Dawes,Respire,"£9,600",30-Jun-21,June,Q1,Midlands,Leicester,Combined arts,"£15,000 and below"
Ugly Bucket,Good Grief 2021 Tour,"£15,000",30-Jun-21,June,Q1,North,Liverpool,Theatre,"£15,000 and below"
Leicester Visual Arts,Leicester Art Week 2021,"£14,924",30-Jun-21,June,Q1,Midlands,Leicester,Combined arts,"£15,000 and below"
James Riley McGilchrist,Rooftop Concerts Summer Season 2021,"£14,872",30-Jun-21,June,Q1,London,Haringey,Music,"£15,000 and below"
Goodlife Community CIC,Weathering the Storm (Revision 2),"£14,996",30-Jun-21,June,Q1,Midlands,Dudley,Visual arts,"£15,000 and below"
Monica Hardcastle,"In August, Away...","£14,990",30-Jun-21,June,Q1,North,Newcastle upon Tyne,Theatre,"£15,000 and below"
Bloom Theatre Productions Ltd,Avalanche R&D,"£13,598",30-Jun-21,June,Q1,London,Hammersmith and Fulham,Theatre,"£15,000 and below"
B-Bar (SW) Ltd,Broadcasting Talent LIVE,"£26,770",30-Jun-21,June,Q1,South West,Plymouth,Music,Grassroots Music
The Wardrobe,PA System,"£9,540",30-Jun-21,June,Q1,North,Leeds,Music,Grassroots Music
Clare Burnett,Sweet Vibrations,"£6,659",1-Jul-21,July,Q2,London,Hammersmith and Fulham,Visual arts,"£15,000 and below"
Rubbish Shakespeare Company,Let's Create Rubbish,"£8,934",1-Jul-21,July,Q2,North,Wirral,Theatre,"£15,000 and below"
Script Sirens,Script Sirens Presents: SPECTRUM,"£15,000",2-Jul-21,July,Q2,Midlands,Birmingham,Visual arts,"£15,000 and below"
Liberty Choir UK,Liberty Choir National Prison Radio Broadcasts,"£48,000",2-Jul-21,July,Q2,South East,Hastings,Music,"Over £15,000"
Murmuration Arts Production CIC,Nightlight Lullabies: Full Covid-Safe Development 2021,"£60,000",2-Jul-21,July,Q2,South East,Brighton and Hove,Visual arts,"Over £15,000"
Jasmin Vardimon Dance Company,VR project,"£180,000",2-Jul-21,July,Q2,South East,Ashford,Dance,National Activity Above £100k
Tunbridge Wells Puppetry Festival CIC,Tunbridge Wells Puppetry Festival 2021,"£49,999",2-Jul-21,July,Q2,South East,Sevenoaks,Theatre,"Over £15,000"
Worthing Theatres and Museum,Spin Out: outdoor arts festival supporting audiences to return to culture and creativity,"£27,568",2-Jul-21,July,Q2,South East,Worthing,Theatre,"Over £15,000"
TOAST Poetry,TOAST Poetry 2021-22,"£26,640",2-Jul-21,July,Q2,South East,Norwich,Literature,"Over £15,000"
"Yael Flexer, Nic Sandiland/Dance & Digital Works Limited",Imagining Otherwise phase 2,"£29,990",2-Jul-21,July,Q2,South East,Chichester,Dance,"Over £15,000"
Project Art Works,EXPLORERS II,"£469,080",2-Jul-21,July,Q2,South East,Hastings,Visual arts,National Activity Above £100k
National Literacy Trust,Connecting Stories 2021/22,"£1,602,060",2-Jul-21,July,Q2,London,Lambeth,Literature,National Activity Above £100k
The Polar Bear,The Bear Garden,"£31,200",2-Jul-21,July,Q2,North,"Kingston upon Hull, City of",Music,Grassroots Music
Khamidjan Ismailov,"Gagged from speaking, free to be heard","£21,986",6-Jul-21,July,Q2,London,Barnet,Literature,"Over £15,000"
Jonathan Savage,Dj Derek Memorial Mural,"£6,090",6-Jul-21,July,Q2,South West,South Gloucestershire,Visual arts,"£15,000 and below"
EYE4CHANGE,Lateral Lens,"£48,227",6-Jul-21,July,Q2,London,Greenwich,Visual arts,"Over £15,000"
Latinolife,La Clave Fest 2021,"£30,000",6-Jul-21,July,Q2,London,Haringey,Music,"Over £15,000"
PIPA,PiPA Intersectional Caring Responsibilities Project,"£49,844",6-Jul-21,July,Q2,London,Bromley,Combined arts,"Over £15,000"
The Original Spinners CIC,"Equipment, puppets & costume - Dance for Dementia","£10,548",6-Jul-21,July,Q2,South West,"Bristol, City of",Dance,"£15,000 and below"
Kirstie Macleod,The Red Dress,"£15,000",6-Jul-21,July,Q2,South West,Mendip,Visual arts,"£15,000 and below"
Svetlana Ochkovskaya,Search To Belong,"£11,948",6-Jul-21,July,Q2,South West,Havant,Visual arts,"£15,000 and below"
Papatango Theatre Company Ltd,GoWrite 2021-22,"£15,000",6-Jul-21,July,Q2,South West,Cotswold,Theatre,"£15,000 and below"
Margaret Irving,Sea Gals Tales & Trails:,"£4,539",6-Jul-21,July,Q2,South West,East Devon,Theatre,"£15,000 and below"
Cat and Mouse Theatre,SUSANN The Robot School Tour,"£14,880",6-Jul-21,July,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Natalie Verhaegen,Skeleton Woman,"£14,979",6-Jul-21,July,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Wilkie Branson,LAYSU Development Phase 1,"£10,752",6-Jul-21,July,Q2,South West,Dorset,Dance,"£15,000 and below"
Melanie Young,Can You See Me,"£14,500",6-Jul-21,July,Q2,South West,Cornwall,Visual arts,"£15,000 and below"
Hampshire Cultural Trust,HCT Outdoor Arts 2021,"£15,000",6-Jul-21,July,Q2,South West,Winchester,Combined arts,"£15,000 and below"
Anouche Chokarian,AND IT WON'T BE THE LAST - Research and Development,"£4,400",7-Jul-21,July,Q2,London,Bexley,Theatre,"£15,000 and below"
Josh Overton,Faustus: An Outdoor Circus Theatre Production,"£13,661",7-Jul-21,July,Q2,North,"Kingston upon Hull, City of",Theatre,"£15,000 and below"
Signdance Collective,Oriente Plus Production 1/ Hybrid Fest,"£18,000",7-Jul-21,July,Q2,South East,Buckinghamshire,Theatre,"£15,000 and below"
The Opera Story,Beauty and the Seven Beasts,"£14,000",7-Jul-21,July,Q2,London,Hackney,Music,"£15,000 and below"
Solihull MBC,Solihull cultural re-launch,"£12,500",7-Jul-21,July,Q2,Midlands,Solihull,Combined arts,"£15,000 and below"
Rebecca Saffir,BABY Resubmission,"£16,575",7-Jul-21,July,Q2,London,Hackney,Theatre,"£15,000 and below"
The Academy of St Martin in the Fields,A Midsummer Night's Dream: Schools' Project,"£15,000",7-Jul-21,July,Q2,London,Westminster,Music,"£15,000 and below"
Neil Greenhalgh,Springwater Sketchbook Walks,"£6,644",7-Jul-21,July,Q2,North,Bury,Visual arts,"£15,000 and below"
Firhaad Ahmed,Diwali in Luton 2021,"£15,000",7-Jul-21,July,Q2,South East,Luton,Combined arts,"£15,000 and below"
Studio Above&Below ltd.,Digital Atmosphere,"£14,550",7-Jul-21,July,Q2,London,Southwark,Visual arts,"£15,000 and below"
Amber Grandidier-Nkanang,Francophile,"£7,995",7-Jul-21,July,Q2,London,Croydon,Music,"£15,000 and below"
Dawinder Bansal,Being Femail 2021,"£14,999",7-Jul-21,July,Q2,Midlands,Wolverhampton,Visual arts,"£15,000 and below"
Samantha Togni,Samantha Togni launches Boudica as a record label - RESUBMISSION,"£14,898",7-Jul-21,July,Q2,London,Hackney,Music,"£15,000 and below"
Matt Aston,Velvet Prison / Ugly Gosling,"£14,941",7-Jul-21,July,Q2,Midlands,Gedling,Theatre,"£15,000 and below"
Freewheelers Theatre and Media Ltd,Doubling Down on Degas,"£17,834",7-Jul-21,July,Q2,South East,Elmbridge,Theatre,"£15,000 and below"
Cheryl Prince,AWAKEN Resubmission 3,"£13,717",7-Jul-21,July,Q2,London,Kensington and Chelsea,Theatre,"£15,000 and below"
Buzzing Roots CIC,Creative Shoots,"£3,950",7-Jul-21,July,Q2,Midlands,Leicester,Visual arts,"£15,000 and below"
Provisional Act,Loud & Queer Arts Festival 2022,"£14,925",7-Jul-21,July,Q2,Midlands,Worcester,Combined arts,"£15,000 and below"
Rachel Lewis,Writing Happiness for emerging disabled writers,"£13,178",7-Jul-21,July,Q2,London,Camden,Literature,"£15,000 and below"
Late Music Concert Series,Late Music Season 2021 - 2022,"£9,653",7-Jul-21,July,Q2,North,York,Music,"£15,000 and below"
Hayley Ovens,"Building Resilience, Innovation & Diversity in South East Dance Producers","£17,292",7-Jul-21,July,Q2,South East,Brighton and Hove,Dance,"£15,000 and below"
Lily Wales,NeuroCell,"£15,000",7-Jul-21,July,Q2,Midlands,Birmingham,Visual arts,"£15,000 and below"
Papergang Theatre,Amaterasu Out of the Cave,"£14,997",7-Jul-21,July,Q2,London,Newham,Theatre,"£15,000 and below"
The Culture House Ltd,"Wonderful World, Grimsby","£15,000",7-Jul-21,July,Q2,North,North East Lincolnshire,Combined arts,"£15,000 and below"
Ordinary Glory,Joy Unspeakable (R & D),"£11,430",7-Jul-21,July,Q2,North,Bolton,Theatre,"£15,000 and below"
Christoph Paulweber,Lucky Pigeons - R&D Circus/Puppet Performance,"£14,653",7-Jul-21,July,Q2,London,Hackney,Theatre,"£15,000 and below"
Missing Link Arts Ltd.,Missing Link Yorkshire,"£16,315",7-Jul-21,July,Q2,North,Kirklees,Theatre,"£15,000 and below"
ONCA Trust Ltd,Making Care: Group Exhibition,"£17,500",7-Jul-21,July,Q2,South East,Brighton and Hove,Visual arts,"£15,000 and below"
Sunara Begum,Tree of Life,"£14,975",7-Jul-21,July,Q2,London,Islington,Combined arts,"£15,000 and below"
Janet Barnes,R&D - Parky Players,"£14,970",7-Jul-21,July,Q2,Midlands,Broxtowe,Theatre,"£15,000 and below"
The PappyShow,What Do You See R&D,"£15,000",7-Jul-21,July,Q2,Midlands,Dudley,Theatre,"£15,000 and below"
Noga Flaishon,Bunker,"£5,928",7-Jul-21,July,Q2,London,Hackney,Theatre,"£15,000 and below"
Tamsin Rees,My Mate Ren,"£14,977",7-Jul-21,July,Q2,North,Newcastle upon Tyne,Theatre,"£15,000 and below"
Ebony Steelband Trust,Ebony & Carnival 2021,"£14,800",7-Jul-21,July,Q2,London,Westminster,Music,"£15,000 and below"
Elizabeth Drury,Climate Stage - Art Exhibition in a Theatre and Public Programme,"£15,000",7-Jul-21,July,Q2,London,Lewisham,Visual arts,"£15,000 and below"
Deborah Hanna,Family Folk  -  2021 B,"£12,433",7-Jul-21,July,Q2,South East,South Cambridgeshire,Music,"£15,000 and below"
Musa M'Boob,Interactive World Music Sharing 3,"£14,950",7-Jul-21,July,Q2,South East,Brighton and Hove,Music,"£15,000 and below"
Eleonora Consta,Her Ensemble - 2000 Years of Female Composers,"£7,986",7-Jul-21,July,Q2,London,Tower Hamlets,Music,"£15,000 and below"
Francesca Amewudah-Rivers,Organisation Development for Khameleon Productions,"£14,938",7-Jul-21,July,Q2,South East,Wealden,Theatre,"£15,000 and below"
WardrobeProductions,The Wardrobe R&D,"£14,489",7-Jul-21,July,Q2,London,Harrow,Theatre,"£15,000 and below"
Birmingham Dance Network,BDN Introducing and Org. Development,"£15,285",7-Jul-21,July,Q2,Midlands,Birmingham,Dance,"£15,000 and below"
Heritage 5G LTD,Canada Water: Building Victorian Britain with Canadian Resources,"£14,985",7-Jul-21,July,Q2,Midlands,Birmingham,Visual arts,"£15,000 and below"
John Woolrich,In Darkness Let Me Dwell Workshops & Presentations,"£14,868",7-Jul-21,July,Q2,South East,Folkestone and Hythe,Music,"£15,000 and below"
Dean Stalham,A wondrous place@the mattress shop,"£15,000",7-Jul-21,July,Q2,South East,Thanet,Combined arts,"£15,000 and below"
JANET M BLAKE,"Exile, Magic & Power: NEW DIGITAL FORM of STORYTELLING","£13,803",7-Jul-21,July,Q2,North,Manchester,Literature,"£15,000 and below"
Theatre Company Blah Blah Blah,Audio Storytelling Walk - Stirring Up The Past,"£14,999",7-Jul-21,July,Q2,North,Leeds,Theatre,"£15,000 and below"
